country	capital	area	population	continent	currency
rwanda_PN	kigali_PN	26338	12208407	africa_PN	(AdjCN (PositA rwandan_1_A) (UseN franc_N))
saint_kitts_and_nevis_PN	basseterre_PN	269	55345	north_america_1_PN	(AdjCN (PositA eastern_caribbean_A) (UseN dollar_1_N))
saint_lucia_PN	castries_PN	617	178844	north_america_1_PN	(AdjCN (PositA eastern_caribbean_A) (UseN dollar_1_N))
saint_vincent_and_the_grenadines_PN	kingstown_PN	389	109897	north_america_1_PN	(AdjCN (PositA eastern_caribbean_A) (UseN dollar_1_N))
samoa_1_PN	apia_PN	2842	196440	oceania_PN	(AdjCN (PositA samoan_A) (UseN tala_N))
san_marino_2_PN	san_marino_1_PN	61	33400	europe_1_PN	(UseN euro_1_N)
saudi_arabia_PN	riyadh_PN	2250000	33000000	asia_1_PN	(AdjCN (PositA saudi_A) (UseN riyal_1_N))
senegal_PN	dakar_PN	196722	15850567	africa_PN	(AdjCN (PositA west_african_A) (UseN cfa_franc_N))
serbia_PN	belgrade_PN	88361	7022268	europe_1_PN	(AdjCN (PositA serbian_A) (UseN dinar_2_N))
seychelles_1_PN	victoria_5_PN	459	95843	africa_PN	(AdjCN (PositA seychellois_A) (UseN rupee_2_N))
sierra_leone_PN	freetown_PN	71740	7557212	africa_PN	(AdjCN (PositA sierra_leonean_A) (UseN leone_N))
singapore_2_PN	singapore_1_PN	719	5888926	asia_1_PN	(GenPN singapore_2_PN (UseN dollar_1_N))
slovakia_PN	bratislava_PN	49035	5397036	europe_1_PN	(UseN euro_1_N)
slovenia_PN	ljubljana_PN	20273	2066880	europe_1_PN	(UseN euro_1_N)
solomon_islands_PN	honiara_PN	28400	611343	oceania_PN	(GenPN solomon_islands_PN (UseN dollar_1_N))
somalia_PN	mogadishu_PN	637657	11031386	africa_PN	(AdjCN (PositA somali_A) (UseN shilling_3_N))
south_africa_PN	pretoria_PN	1221037	59622350	africa_PN	(AdjCN (PositA south_african_A) (UseN rand_1_N))
south_korea_PN	seoul_PN	100295	51466201	asia_1_PN	(AdjCN (PositA south_korean_A) (UseN won_1_N))
south_sudan_PN	juba_PN	619745	12575714	africa_PN	(AdjCN (PositA south_sudanese_A) (UseN pound_5_N))
spain_PN	madrid_PN	505990	46733038	europe_1_PN	(UseN euro_1_N)
sri_lanka_PN	colombo_PN	65610	21444000	asia_1_PN	(AdjCN (PositA sri_lankan_A) (UseN rupee_1_N))
sudan_1_PN	khartoum_PN	1886068	40533330	africa_PN	(AdjCN (PositA sudanese_A) (UseN pound_5_N))
suriname_PN	paramaribo_PN	163270	563402	south_america_1_PN	(AdjCN (PositA surinamese_A) (UseN dollar_1_N))
sweden_PN	stockholm_PN	528861	10379295	europe_1_PN	(AdjCN (PositA swedish_A) (UseN krona_1_N))
switzerland_PN	bern_PN	41285	8466017	europe_1_PN	(AdjCN (PositA swiss_A) (UseN franc_N))
syria_PN	damascus_PN	185180	18499181	asia_1_PN	(AdjCN (PositA syrian_A) (UseN pound_4_N))
são_tomé_and_príncipe_PN	são_tomé_PN	1001	204327	africa_PN	(GenPN são_tomé_and_príncipe_PN (UseN dobra_N))
taiwan_1_PN	taipei_PN	36193	23593794	asia_1_PN	(AdjCN (PositA new_1_N) (GenPN taiwan_1_PN (UseN dollar_1_N)))
tajikistan_PN	dushanbe_PN	143100	8921343	asia_1_PN	(AdjCN (PositA tajikistani_A) (UseN somoni_N))
tanzania_PN	dodoma_PN	947303	57310019	africa_PN	(AdjCN (PositA tanzanian_A) (UseN shilling_2_N))
thailand_PN	bangkok_PN	513120	65931550	asia_1_PN	(UseN baht_N)
the_bahamas_PN	nassau_PN	13878	395361	north_america_1_PN	(AdjCN (PositA bahamian_A) (UseN dollar_1_N))
the_gambia_PN	banjul_PN	11300	2100568	africa_PN	(UseN dalasi_N)
togo_PN	lomé_PN	56785	7797694	africa_PN	(AdjCN (PositA west_african_A) (UseN cfa_franc_N))
tonga_PN	nuku'alofa_PN	749	108020	oceania_PN	(AdjCN (PositA tongan_A) (UseN paanga_N))
trinidad_and_tobago_PN	port_of_spain_PN	5128	1369125	north_america_1_PN	(GenPN trinidad_and_tobago_PN (UseN dollar_1_N))
tunisia_PN	tunis_PN	163610	11565204	africa_PN	(AdjCN (PositA tunisian_2_A) (UseN dinar_3_N))
turkey_PN	ankara_PN	783562	83614362	asia_1_PN	(AdjCN (PositA turkish_A) (UseN lira_2_N))
turkmenistan_PN	ashgabat_PN	491210	5850901	asia_1_PN	(GenPN Turkmenistan (UseN manat_1_N))
tuvalu_PN	funafuti_PN	26	11192	oceania_PN	(AdjCN (PositA tuvaluan_A) (UseN dollar_1_N))
uganda_PN	kampala_PN	241038	42862958	africa_PN	(AdjCN (PositA ugandan_A) (UseN shilling_1_N))
ukraine_PN	kyiv_PN	603629	42558328	europe_1_PN	(UseN hryvnia_N)
united_arab_emirates_PN	abu_dhabi_PN	83600	9400145	asia_1_PN	(GenPN united_arab_emirates_PN (UseN dirham_2_N))
united_kingdom_PN	london_1_PN	242495	66022273	europe_1_PN	(UseN sterling_N)
united_states_PN	washington_dc_PN	9826675	331449281	north_america_1_PN	(GenPN united_states_PN (UseN dollar_1_N))
uruguay_PN	montevideo_PN	176215	3456750	south_america_1_PN	(AdjCN (PositA uruguayan_A) (UseN peso_1_N))
uzbekistan_PN	tashkent_PN	448978	33570609	asia_1_PN	(AdjCN (PositA uzbekistani_A) (UseN som_1_N))
vanuatu_PN	port_vila_PN	12190	276244	oceania_PN	(GenPN vanuatu_PN (UseN vatus_N))
venezuela_PN	caracas_PN	916445	28515829	south_america_1_PN	(AdjCN (PositA sovereign_1_A) (UseN bolivar_1_N))
vietnam_1_PN	hanoi_PN	331690	94660000	asia_1_PN	(AdjCN (PositA vietnamese_A) (UseN dong_N))
yemen_PN	sanaa_PN	555000	28250420	asia_1_PN	(AdjCN (PositA yemeni_A) (UseN rial_1_N))
zambia_PN	lusaka_PN	752618	17094130	africa_PN	(AdjCN (PositA zambian_A) (UseN kwacha_1_N))
zimbabwe_PN	harare_PN	390757	16529904	africa_PN	(GenPN united_states_PN (UseN dollar_1_N))
